category,image,sub_category,product_name,price,about,how_to,ingredients
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/slides-2-1648127695.png,COLORFIT,NEW! Wardah Bundle Colorfit Lip Paint - Dazzling New York,99180,NEW! Wardah Special Bundle Colorfit Lip Paint - Dazzling New York,Ready-to-go travel pack make up to experience cities around the world,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/slides-2-1648127477.png,COLORFIT,NEW! Wardah Bundle Colorfit Lip Paint - Royal London,179580,NEW! Wardah Special Bundle Colorfit Lip Paint - Royal London,Ready-to-go travel pack make up to experience cities around the world,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647485510.png,"COLORFIT, LIPS",Colorfit Last All Day Lip Paint Around the World,62985,Colorfit Last All Day Lip Paint Around the World LIMITED EDITION is the only halal matte lip cream with non-transfer formula and intense colors that lasts up to 12 hours with the result that intense non-transfer lip color that lasts all day.,"Aplikasikan lipstik pada bibir., Gunakan aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir dengan one swipe coverage, Gunakan hingga seluruh warna merata di bibir cantikmu.","Isododecane, Bis-Hydroxylauryl Dimethicone/IPDI Copolymer, Cyclopentasiloxane, Trisiloxane, Trimethylsiloxysilicate, Diisostearyl Malate, Hydrated Silica, Silica Dimethyl Silylate, Disteardimonium Hectorite, Cyclohexasiloxane, Propylene Carbonate, Phenoxyethanol, Ethylhexylglycerin, Aluminum Hydroxide, Tocopheryl Acetate, Triethoxycaprylylsilane, Fragrance, Cyclotetrasiloxane, Tocopherol. May Contain :CI 77891, CI 77492, CI 15850:2, CI 15850:1, CI 77499, CI 77491, CI 15850, CI 42090."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647333599.png,COLORFIT,Colorfit Perfect Glow Cushion,101650,"Colorfit Perfect Glow Cushion merupakan base makeup dengan radiant (glow) finish dan formula yang ringan sehingga mampu menyatu dengan baik pada wajah untuk memberikan tampilan healthy-glow finish. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulit dan memberikan high coverage untuk menutupi ketidaksempurnaan pada wajah. No greasy, no cakey, less oxidized formula.","Ambil bulk menggunakan puff yang disediakan dengan cara di tekan pada sponge, Aplikasikan cushion ke wajah dengan cara di tap-tap secara halus untuk hasil coverage yang optimal dan merata, Hindari gerakan menggeser agar hasilnya dapat lebih menyatu dengan kulit, Tutup rapat cushion setelah pemakaian","SkinMatch Technology
Glow Perfecting Pigment"
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1645442966.webp,LIPS,Everyday! Matte Lip Shot,46000,Quick set lip cream dengan hasil matte yang diformulasikan dengan quickset volatile oils yang mampu dengan cepat nge-set di bibir. Mengandung vitamin C yang dapat membuat bibir tetap healthy saat online meeting atau online class. Didesign dengan 5 spesial camera ready shades yang membuat tampilan lebih nge-pop di kameran dan digital screen.,Aplikasikan Everyday! Matte Lip Shot dengan aplikator secara merata pada bibir,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1644227185.png,FACE,Lightening Liquid Foundation 6ml,18500,"Wardah Lightening Liquid Foundation adalah liquid foundation yang terasa ringan dan nyaman digunakan sehari-hari. Memilki coverage medium, mencerahkan, dan tahan lama hingga 12 jam.","1. Aplikasikan Wardah Lightening Liquid Foundation secukupnya pada wajah, 2. Ratakan ke seluruh wajah menggunakan tangan/brush/ sponge, 3. Wajah cerahmu siap untuk menjalani aktivitas","Aqua, Cyclopentasiloxane, Dimethicone, Propanediol, Ethylhexyl Methoxycinnamate, Phenyl Trimethicone, Niacinamide, Polymethyl Methacrylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Trehalose, PEG/PPG-18/18 Dimethicone, Magnesium Sulfate, Divinyldimethicone/Dimethicone Crosspolymer, Phenoxyethanol, Polyhydroxystearic Acid, Polymethylsilsesquioxane, Silica, Sorbitan Olivate, Tocopheryl Acetate, Aluminum Hydroxide, Hydrogen Dimethicone, Allantoin, Zinc Gluconate, Ethylhexylglycerin, Methicone, Disodium EDTA. May Contain :CI 77891, CI 77492, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647060273.png,EYE,Eyexpert Matic Brow Definer,50000,"Produk pensil alis mekanik dengan ujung berbentuk oval pipih sehingga memudahkan untuk menggambar alis secara presisi. Dengan tekstur powdery dan smooth, serta intensitas yang natural menjadikan alis tampak cantik natural. Waterproof, wudhu friendly, serta tahan lama hingga 8 jam.","Rapikan alis dengan bagian spoolie, gambar bingkai alis dengan ujung pensil, isi bagian dalam alis, kemudian baurkan pensil dengan spoolie.",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1648120375.png,"COLORFIT, FACE",Colorfit Cream Blush,45900,"Cream Blush with cream to powder texture. Infused with Vitamin E. Airy light and smooth creamy consistency allow blush to easily blend on skin or foundation. Glow Color pigment, gives intense long lasting color. Fresh blushing looks for up to 8 hours!",Aplikasikan Wardah Colorfit Cream Blush di area pipi dengan mengoleskan cream blush menggunakan jari/sponge. Colorfit Cream Blush dapat diaplikasikan setelah menggunakan foundation maupun bedak.,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1633012689.png,"COLORFIT, LIPS",Colorfit Fresh Lip Ink Serum,57150,"The Next Level of Lip Ink! Lip Ink Serum Infused with sunflower & jojoba oil, with watery texture. Make your dreams come true with 8 fresh matte lip colors that give you the ultimate bare lip sensation and a healthy lip look to freshen up your day wherever you are! ","Aplikasikan lipstik pada bibir., Gunakan aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir dengan one swipe coverage, Gunakan hingga seluruh warna merata di bibir cantikmu.",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1618798985.png,"COLORFIT, FACE",Colorfit Matte Foundation,64800,Wardah Colorfit Matte Foundation merupakan matte foundation dengan SPF 30 PA+++ yang ringan dan memberikan coverage tahan lama serta tidak transfer. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulit dan memberikan efek oil control pada wajah.,"1. Aplikasikan Wardah Colorfit Matte Foundation pada wajah dengan tangan, 2. Baurkan hingga merata dengan spons atau kuas sesuai dengan hasil yang diinginkan","Aqua, Cyclopentasiloxane, Isododecane, Methyl Methacrylate Crosspolymer, Dimethicone, Ethylhexyl Methoxycinnamate, Caprylyl Methicone, Trimethylsiloxysilicate, Butylene Glycol, PEG-9 Polydimethylsiloxyethyl Dimethicone, Titanium Dioxide, Dicaprylyl Carbonate, Hydrogenated Polyisobutene, Sodium Chloride, Phenoxyethanol, Pentylene Glycol, Tocopheryl Acetate, Triethoxycaprylylsilane, Divinyldimethicone/Dimethicone Crosspolymer, Hydrated Silica, Silica, Disteardimonium Hectorite, Aluminum Hydroxide, Propylene Carbonate, BHT, Ethylhexylglycerin, Hydrogenated Lecithin, Cyclotetrasiloxane, Glycerin, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Cholesterol. May Contain : CI 77491, CI 77492, CI 77499, CI 77891."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1616584925.png,"COLORFIT, FACE",Colorfit Velvet Powder Foundation,63450,Wardah Colorfit Velvet Powder Foundation merupakan kombinasi foundation dan bedak yang terasa halus untuk memberikan coverage yang natural namun buildable (dapat diatur untuk medium hingga high coverage). Mampu memberikan finish yang dapat menyatu dengan baik wajah dan mampu menyamarkan pori serta menahan minyak secara tahan lama hingga 12 jam.,"1. Aplikasikan bedak pada wajah dengan menggunakan spons, 2. Lipat spons menjadi dua bagian untuk meratakan powder foundation di daerah bawah mata","Talc, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Silica, Isopropyl Myristate, Nylon-12, Octyldodecanol, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Phenoxyethanol, Triethoxycaprylylsilane, PCA Dimethicone, Aluminum Hydroxide, Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, Hydrogen Dimethicone, Polymethyl Methacrylate, Ethylhexylglycerin, Methicone, Fragrance, Tocopheryl Acetate, Glycerin, Caprylic/Capric Triglyceride, Aqua, Centella Asiatica Extract, Tocopherol, Hydrogenated Lecithin, Cholesterol. May Contain: CI 77891, CI 77491, CI 77492, CI 77499, CI 77947."
